TIME,LATITUDE,LONGITUDE,RAINFALL,humidity,temperature,wind_speed,pressure,cloudburst
2023-06-01,12.4,75.7,45.2,68,28.5,18,1008,0
2023-06-02,12.4,75.7,78.1,74,27.8,22,1005,0
2023-06-03,12.4,75.7,120.5,82,26.5,31,999,1
2023-06-04,12.4,75.7,165.3,89,25.2,38,993,1
2023-06-05,12.4,75.7,192.4,91,24.8,42,989,1
2023-06-06,12.4,75.7,88.3,78,26.0,28,1001,0
2023-06-07,12.4,75.7,55.1,71,27.2,20,1006,0
2023-06-08,12.4,75.7,32.0,65,29.0,15,1010,0
2023-06-09,10.1,77.1,68.5,75,29.5,24,1004,0
2023-06-10,10.1,77.1,145.2,85,27.0,36,995,1
2023-06-11,10.1,77.1,178.9,90,25.5,40,991,1
2023-06-12,10.1,77.1,201.3,93,24.2,45,987,1
2023-06-13,10.1,77.1,95.7,80,26.8,29,1000,0
2023-06-14,10.1,77.1,62.3,72,28.1,21,1006,0
2023-06-15,13.5,75.1,110.4,83,26.2,33,997,1
2023-06-16,13.5,75.1,155.6,88,25.0,39,992,1
2023-06-17,13.5,75.1,42.1,67,29.3,16,1009,0
2023-06-18,13.5,75.1,78.8,75,28.0,25,1004,0
2023-06-19,15.0,74.0,38.5,63,30.5,14,1011,0
2023-06-20,15.0,74.0,55.2,70,29.8,19,1007,0
2023-06-21,15.0,74.0,92.6,78,27.5,27,1002,0
2023-06-22,15.0,74.0,138.3,86,26.0,35,996,1
2023-06-23,15.0,74.0,167.8,91,24.5,41,990,1
2023-06-24,15.0,74.0,72.4,73,28.5,22,1004,0
2023-06-25,11.4,76.7,48.1,69,29.0,17,1008,0
2023-06-26,11.4,76.7,85.3,77,27.3,26,1003,0
2023-06-27,11.4,76.7,130.6,84,25.8,34,998,1
2023-06-28,11.4,76.7,158.4,88,24.8,39,992,1
2023-06-29,11.4,76.7,185.2,92,24.0,44,988,1
2023-06-30,11.4,76.7,94.1,79,26.5,28,1001,0
2023-07-01,12.4,75.7,110.5,82,26.3,32,999,1
2023-07-02,12.4,75.7,145.8,87,25.5,37,994,1
2023-07-03,12.4,75.7,172.3,90,24.8,41,990,1
2023-07-04,12.4,75.7,58.2,71,28.0,20,1006,0
2023-07-05,12.4,75.7,40.5,65,29.5,15,1010,0
2023-07-06,10.1,77.1,188.7,92,24.2,43,988,1
2023-07-07,10.1,77.1,215.1,94,23.8,47,985,1
2023-07-08,10.1,77.1,102.3,81,26.5,30,1000,0
2023-07-09,10.1,77.1,66.7,74,27.8,22,1005,0
2023-07-10,10.1,77.1,44.8,67,29.2,16,1009,0
2023-07-11,13.5,75.1,128.4,84,26.0,34,997,1
2023-07-12,13.5,75.1,162.9,89,25.0,40,991,1
2023-07-13,13.5,75.1,75.3,76,27.5,24,1003,0
2023-07-14,13.5,75.1,52.6,70,28.8,18,1007,0
2023-07-15,17.9,73.7,35.1,61,31.5,13,1012,0
2023-07-16,17.9,73.7,62.4,72,29.5,21,1006,0
2023-07-17,17.9,73.7,98.7,79,27.2,28,1002,0
2023-07-18,17.9,73.7,135.2,85,26.0,35,996,1
2023-07-19,17.9,73.7,148.6,87,25.5,38,993,1
2023-07-20,17.9,73.7,68.3,73,28.3,22,1005,0
2023-07-21,12.4,75.7,182.4,91,24.5,42,989,1
2023-07-22,12.4,75.7,205.8,93,23.8,46,986,1
2023-07-23,12.4,75.7,88.5,77,27.0,26,1003,0
2023-07-24,12.4,75.7,55.9,70,28.5,19,1007,0
2023-07-25,12.4,75.7,42.1,64,30.0,14,1011,0
2023-08-01,10.1,77.1,95.4,80,27.0,29,1001,0
2023-08-02,10.1,77.1,142.7,86,25.5,36,995,1
2023-08-03,10.1,77.1,176.3,90,24.8,41,990,1
2023-08-04,10.1,77.1,62.8,72,28.2,21,1005,0
2023-08-05,10.1,77.1,38.4,65,29.8,15,1010,0
2023-08-06,15.0,74.0,118.5,83,26.0,33,997,1
2023-08-07,15.0,74.0,152.9,88,25.2,38,993,1
2023-08-08,15.0,74.0,44.6,67,29.5,16,1009,0
2023-08-09,15.0,74.0,78.2,75,27.8,24,1004,0
2023-08-10,11.4,76.7,160.4,89,25.0,40,991,1
2023-08-11,11.4,76.7,195.7,92,24.0,44,988,1
2023-08-12,11.4,76.7,82.3,77,27.5,25,1003,0
2023-08-13,11.4,76.7,48.5,68,29.2,17,1008,0
2023-08-14,13.5,75.1,105.8,82,26.5,31,999,0
2023-08-15,13.5,75.1,138.6,86,25.8,36,995,1
2023-08-16,13.5,75.1,168.2,90,24.5,41,990,1
2023-08-17,13.5,75.1,58.4,71,28.0,20,1006,0
2023-08-18,17.9,73.7,72.5,74,28.3,23,1004,0
2023-08-19,17.9,73.7,112.3,83,26.2,33,998,1
2023-08-20,17.9,73.7,145.7,87,25.5,37,994,1
2023-09-01,12.4,75.7,65.3,73,28.5,22,1005,0
2023-09-02,12.4,75.7,92.1,79,27.3,27,1002,0
2023-09-03,12.4,75.7,118.8,83,26.2,33,998,1
2023-09-04,12.4,75.7,35.2,63,30.5,13,1011,0
2023-09-05,10.1,77.1,78.4,76,27.8,25,1003,0
2023-09-06,10.1,77.1,155.2,88,25.0,39,992,1
2023-09-07,10.1,77.1,42.5,66,29.8,15,1009,0
2023-09-08,15.0,74.0,85.6,77,27.5,26,1003,0
2023-09-09,15.0,74.0,122.4,84,26.0,34,997,1
2023-09-10,15.0,74.0,55.8,70,28.8,19,1007,0
